Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-10-26,303.399994,308.970001,301.660004,305.049988,272.217316,1909600,172
2018-10-29,309.5,309.5,283.209991,286.670013,255.815613,3262900,173
2018-10-30,285.609985,292.5,283.720001,291.070007,259.742004,2870000,174
2018-10-31,294.359985,299.100006,293.529999,293.850006,262.222748,1980100,175
2018-11-01,295.730011,301.440002,295.01001,299.420013,267.193268,1526900,176
2018-11-02,301.040009,302.75,297.75,299.279999,267.068359,1597200,177
2018-11-05,302,304.299988,300.589996,303.209991,270.575317,1650500,178
2018-11-06,304.049988,308.76001,304.049988,306.559998,273.564819,1123200,179
2018-11-07,308.059998,309.959991,304.160004,309.820007,276.473969,983000,180
2018-11-08,310,311.019989,306.359985,308.559998,275.349518,879000,181
2018-11-09,307.190002,314.160004,307.140015,313.119995,279.418732,1294300,182
2018-11-12,313.200012,314.230011,304.600006,305.119995,272.279755,1117800,183
2018-11-13,304.809998,308.859985,302.230011,305.73999,272.833008,1121000,184
2018-11-14,308.269989,309.679993,303.01001,303.390015,270.735992,1192800,185
2018-11-15,302.170013,308,299.73999,305.480011,272.601044,1233100,186
2018-11-16,303.839996,305.25,299.869995,301.23999,268.817383,1319500,187
2018-11-19,301.089996,301.089996,293.220001,294.589996,262.883118,1558900,188
2018-11-20,291.359985,295.25,288.559998,293.859985,262.23172,1281100,189
2018-11-21,295,297.850006,294.230011,294.290009,262.615448,1355600,190
2018-11-23,293.059998,297.940002,291.929993,295.380005,263.588135,434300,191
2018-11-26,297.040009,298.850006,292.920013,295.279999,263.498871,1375900,192
2018-11-27,293.899994,295.660004,289.600006,295.290009,263.507813,1477400,193
2018-11-28,297.850006,300.529999,293.940002,299.940002,267.657349,1282700,194
2018-11-29,301,304.980011,300.279999,302.420013,269.870392,2788500,195
2018-11-30,300.75,303.529999,297.880005,300.429993,270.059174,3666200,196
2018-12-03,304.940002,305.329987,295.899994,296.790009,266.78714,1764700,197
2018-12-04,295.720001,295.720001,286.029999,286.730011,257.74408,2208100,198
2018-12-06,282.899994,286.890015,277.200012,286.350006,257.402527,2793700,199
2018-12-07,285.399994,290.350006,285.209991,285.399994,256.548553,1407200,200
2018-12-10,289.929993,298.929993,289.190002,298.399994,268.234344,2417900,201
2018-12-11,302.679993,303.25,290.329987,292.149994,262.616211,1764500,202
2018-12-12,295.98999,296.799988,292.01001,292.5,262.930756,1121500,203
2018-12-13,293.269989,295.269989,291,292.230011,262.68811,1125300,204
2018-12-14,290,291.23999,286.619995,287.700012,258.616028,1881600,205
2018-12-17,286.200012,286.790009,277.839996,279.230011,251.002304,1649100,206
2018-12-18,281.549988,283.839996,278.049988,279.470001,251.217972,1707900,207
2018-12-19,279.75,283.809998,271.519989,273.959991,246.264984,1716900,208
2018-12-20,271.98999,273.820007,261.410004,265.290009,238.471527,2327700,209
2018-12-21,260.779999,262.640015,255.300003,256.549988,230.615021,3738600,210
2018-12-24,253.029999,254.630005,245.009995,245.220001,220.430374,1515400,211
2018-12-26,246.309998,251.889999,241.179993,251.619995,226.183441,1797600,212
2018-12-27,249.25,259.790009,248.199997,259.790009,233.527496,2201400,213
2018-12-28,263.01001,264.829987,260.140015,261.26001,234.848877,1983800,214
2018-12-31,262.149994,265.109985,259.850006,261.839996,235.370316,1184900,215
2019-01-02,258.359985,265.299988,256.790009,264.730011,237.968109,1064700,216
2019-01-03,262.320007,264,257.380005,258.079987,231.990387,1165600,217
2019-01-04,261.920013,265.48999,260.339996,265.040009,238.246826,1443800,218
2019-01-07,266,270,263.859985,268.079987,240.979385,1465200,219
2019-01-08,271.130005,271.75,267.809998,269.869995,242.588547,1791400,220
